ts_event,publisher_id,product_id,open,high,low,close,volume
1641228180000000000,2,11291,52370000000,52370000000,52370000000,52370000000,700
1641228180000000000,2,10930,220630000000,220680000000,220530000000,220680000000,1018
1641228180000000000,2,5099,206820000000,206990000000,206820000000,206990000000,603
1641228180000000000,2,7085,76300000000,76300000000,76230000000,76230000000,2519
1641228180000000000,2,5621,52500000000,52520000000,52495000000,52520000000,4587
1641228180000000000,2,6978,176500000000,176690000000,176500000000,176660000000,564
1641228180000000000,2,2807,155960000000,156070000000,155910000000,156050000000,3660
1641228180000000000,2,6189,58720000000,58720000000,58715000000,58720000000,2145
1641228180000000000,2,7119,332170000000,332370000000,332170000000,332370000000,7927
1641228180000000000,2,11438,143740000000,143760000000,143720000000,143750000000,1853
1641228180000000000,2,986,166990000000,167160000000,166960000000,167110000000,1217
1641228240000000000,2,6741,266340000000,266340000000,266340000000,266340000000,100
1641228240000000000,2,2429,62710000000,62750000000,62710000000,62750000000,1947
1641228240000000000,2,7085,76220000000,76220000000,76200000000,76210000000,3108
1641228240000000000,2,4941,405000000000,405030000000,404910000000,404970000000,1105
1641228240000000000,2,8216,161100000000,161160000000,161100000000,161140000000,1876
1641228240000000000,2,1018,208320000000,208460000000,208320000000,208410000000,1240
1641228240000000000,2,6189,58725000000,58725000000,58710000000,58720000000,2503
1641228240000000000,2,5993,162080000000,162080000000,162030000000,162080000000,2140
1641228240000000000,2,7407,163660000000,163660000000,163590000000,163640000000,1289
1641228240000000000,2,11291,52370000000,52370000000,52360000000,52370000000,2005
1641228240000000000,2,5321,135035000000,135090000000,135020000000,135090000000,394
1641228240000000000,2,2391,251920000000,252170000000,251920000000,252170000000,3587
1641228240000000000,2,10806,494545000000,494790000000,494545000000,494740000000,977
1641228240000000000,2,11438,143760000000,143830000000,143760000000,143830000000,1137
1641228240000000000,2,5099,206950000000,206990000000,206890000000,206940000000,246
1641228240000000000,2,27,181600000000,181620000000,181445000000,181490000000,25510
1641228240000000000,2,2807,156050000000,156080000000,156010000000,156050000000,2165
1641228240000000000,2,10930,220650000000,220650000000,220450000000,220460000000,785
1641228240000000000,2,6978,176700000000,176710000000,176700000000,176710000000,4
1641228240000000000,2,508,224285000000,224580000000,224285000000,224580000000,3038
1641228240000000000,2,5966,170140000000,170180000000,170100000000,170180000000,495
1641228240000000000,2,4755,394070000000,394120000000,393840000000,393870000000,1203
1641228240000000000,2,2920,57180000000,57180000000,57160000000,57160000000,309
1641228240000000000,2,10579,155360000000,155360000000,155340000000,155340000000,283
1641228240000000000,2,5621,52525000000,52530000000,52515000000,52525000000,3311
1641228240000000000,2,986,167120000000,167180000000,167080000000,167140000000,1012
1641228240000000000,2,7119,332360000000,332480000000,332350000000,332460000000,9677
1641228240000000000,2,2556,118980000000,119060000000,118980000000,119060000000,2939
1641228240000000000,2,11317,52790000000,52830000000,52785000000,52820000000,4192
1641228300000000000,2,6978,176720000000,176720000000,176560000000,176610000000,739
1641228300000000000,2,2556,119060000000,119100000000,119040000000,119050000000,1451
1641228300000000000,2,2807,156040000000,156090000000,156020000000,156070000000,1912
1641228300000000000,2,1018,208430000000,208590000000,208430000000,208590000000,1312
1641228300000000000,2,8216,161110000000,161130000000,161100000000,161130000000,1403
1641228300000000000,2,5966,170190000000,170260000000,170190000000,170250000000,1139
1641228300000000000,2,2429,62755000000,62765000000,62750000000,62765000000,3630
1641228300000000000,2,6189,58725000000,58725000000,58715000000,58715000000,739
1641228300000000000,2,7119,332460000000,332460000000,332220000000,332270000000,6702
1641228300000000000,2,10806,494700000000,494880000000,494650000000,494880000000,566
1641228300000000000,2,986,167110000000,167170000000,167110000000,167130000000,810
1641228300000000000,2,508,224530000000,224590000000,224390000000,224390000000,578
1641228300000000000,2,6741,266310000000,266310000000,266230000000,266280000000,741
1641228300000000000,2,2920,57200000000,57200000000,57190000000,57200000000,1388
1641228300000000000,2,11291,52380000000,52405000000,52380000000,52405000000,2054
1641228300000000000,2,7407,163650000000,163740000000,163650000000,163740000000,102
1641228300000000000,2,10930,220460000000,220630000000,220420000000,220630000000,1816
1641228300000000000,2,4755,393890000000,393920000000,393680000000,393760000000,1298
1641228300000000000,2,4941,404950000000,405110000000,404870000000,404940000000,1524
1641228300000000000,2,11438,143820000000,143820000000,143770000000,143780000000,2975
1641228300000000000,2,5321,135100000000,135100000000,135070000000,135090000000,451
1641228300000000000,2,10579,155405000000,155420000000,155405000000,155420000000,26
1641228300000000000,2,11317,52820000000,52840000000,52820000000,52830000000,1941
1641228300000000000,2,5993,162080000000,162110000000,162070000000,162080000000,2953
1641228300000000000,2,27,181485000000,181560000000,181450000000,181530000000,15771
1641228300000000000,2,5099,206900000000,206900000000,206780000000,206870000000,1442
1641228300000000000,2,7085,76230000000,76260000000,76230000000,76260000000,913
1641228300000000000,2,2391,252120000000,252340000000,252070000000,252340000000,1128
1641228300000000000,2,5621,52520000000,52530000000,52515000000,52525000000,3687
1641228300000000000,2,1763,206600000000,206610000000,206520000000,206580000000,533
1641228360000000000,2,1763,206570000000,206650000000,206570000000,206650000000,18
1641228360000000000,2,5321,135120000000,135240000000,135110000000,135240000000,1379
1641228360000000000,2,11438,143770000000,143770000000,143690000000,143690000000,1835
1641228360000000000,2,5966,170230000000,170230000000,170160000000,170230000000,1359
1641228360000000000,2,4941,405010000000,405040000000,404670000000,404710000000,1840
1641228360000000000,2,5099,206860000000,206860000000,206860000000,206860000000,198
1641228360000000000,2,27,181520000000,181570000000,181420000000,181430000000,17812
1641228360000000000,2,1018,208630000000,208890000000,208630000000,208770000000,2557
1641228360000000000,2,2807,156080000000,156120000000,156060000000,156120000000,2083
1641228360000000000,2,7407,163710000000,163760000000,163680000000,163720000000,1229
1641228360000000000,2,2556,119060000000,119170000000,119060000000,119160000000,1736
1641228360000000000,2,986,167240000000,167340000000,167240000000,167330000000,1913
1641228360000000000,2,7119,332260000000,332300000000,332130000000,332150000000,7554
1641228360000000000,2,10579,155440000000,155450000000,155440000000,155450000000,5
1641228360000000000,2,5621,52520000000,52535000000,52515000000,52535000000,3036
1641228360000000000,2,508,224360000000,224430000000,224320000000,224390000000,1368
1641228360000000000,2,7085,76250000000,76260000000,76225000000,76260000000,2370
1641228360000000000,2,8216,161130000000,161130000000,161070000000,161070000000,2109
1641228360000000000,2,10930,220660000000,220680000000,220580000000,220640000000,2332
1641228360000000000,2,5993,162100000000,162180000000,162100000000,162140000000,1942
1641228360000000000,2,2920,57215000000,57220000000,57215000000,57220000000,7
1641228360000000000,2,11317,52825000000,52835000000,52825000000,52830000000,2185
1641228360000000000,2,6741,266290000000,266490000000,266290000000,266480000000,589
1641228360000000000,2,2429,62765000000,62765000000,62725000000,62750000000,6718
1641228360000000000,2,2391,252260000000,252340000000,252190000000,252300000000,1531
1641228360000000000,2,10806,494770000000,494820000000,494740000000,494740000000,350
1641228360000000000,2,4755,393750000000,393940000000,393750000000,393910000000,1917
1641228360000000000,2,6189,58710000000,58710000000,58685000000,58705000000,1941
1641228360000000000,2,11291,52405000000,52410000000,52405000000,52410000000,2567
1641228360000000000,2,6978,176570000000,176620000000,176560000000,176600000000,176
1641228420000000000,2,6978,176670000000,176710000000,176660000000,176670000000,210
1641228420000000000,2,2920,57240000000,57260000000,57230000000,57260000000,400
1641228420000000000,2,2556,119180000000,119220000000,119160000000,119220000000,3523
1641228420000000000,2,27,181430000000,181630000000,181390000000,181590000000,29526
1641228420000000000,2,8216,161050000000,161110000000,161040000000,161060000000,1120
1641228420000000000,2,4941,404770000000,405090000000,404770000000,405010000000,786
1641228420000000000,2,10806,494920000000,494970000000,494790000000,494790000000,382
1641228420000000000,2,5321,135280000000,135290000000,135210000000,135210000000,533
1641228420000000000,2,10579,155460000000,155500000000,155380000000,155380000000,522
1641228420000000000,2,986,167340000000,167470000000,167340000000,167410000000,1521
1641228420000000000,2,2391,252300000000,252580000000,252280000000,252560000000,1500
1641228420000000000,2,508,224385000000,224630000000,224385000000,224510000000,2199
1641228420000000000,2,11291,52405000000,52405000000,52390000000,52390000000,1719
1641228420000000000,2,5993,162170000000,162170000000,162090000000,162120000000,3125
1641228420000000000,2,10930,220670000000,220910000000,220670000000,220890000000,2053
1641228420000000000,2,6189,58710000000,58725000000,58710000000,58720000000,3120
1641228420000000000,2,7119,332170000000,332660000000,332140000000,332580000000,17623
1641228420000000000,2,4755,393840000000,394120000000,393840000000,393880000000,1019
1641228420000000000,2,5099,206980000000,207090000000,206890000000,206920000000,2275
